,Unnamed: 0,book,author,URL,publisher,date,pages,Sales_rank,author_info,assumed_author_gender,avg_rating,no_of_reviews
12,12, Me and Sister Bobbie, Willie Nelson,/w/me-and-sister-bobbie-willie-nelson/1136676387?ean=9781984854131,Random House Publishing Group,09/15/2020,288,"8,890",""">
<b>Willie Nelson</b> is an American country music singer-songwriter, as well as an author, poet, actor, and activist. He was inducted into the Country Music Hall of Fame in 1993.<br/><br/><b>Bobbie Nelson</b> is a pianist, singer, and member of the band Willie Nelson and Family.<br/><br/><b>David Ritz</b> has collaborated on books with everyone from Ray Charles to Aretha Franklin.",M,4.7,3
13,13, Agent Sonya, Ben Macintyre,/w/agent-sonya-ben-macintyre/1136665295?ean=9780593136300,Crown Publishing Group,09/15/2020,400,"1,269",""">
<b>Ben Macintyre</b> is a writer-at-large for <i>The Times </i>(U.K.) and the bestselling author of <i>The Spy and the Traitor, A Spy Among Friends, Double Cross, Operation Mincemeat, Agent Zigzag,</i> and <i>Rogue Heroes</i>, among other books. Macintyre has also written and presented BBC documentaries of his work.",M,3.0,1
14,14," Rage, Author", Bob Woodward,/w/rage-bob-woodward/1137469438?ean=9781982131739,Simon &amp; Schuster,09/15/2020,480,14,""">
Bob Woodward is an associate editor at <i>The Washington Post</i> where he has worked for 49 years and reported on every American president from Nixon to Trump. He has shared in two Pulitzer Prizes, first for the <i>Post</i>’s coverage of the Watergate scandal with Carl Bernstein, and second 20 years later as the lead <i>Po</i><i>st</i> reporter for coverage of the 9/11 terrorist attacks.",M,3.0,12
15,15, The Undying, Anne Boyer,/w/the-undying-anne-boyer/1130203094?ean=9781250757982,Picador,09/08/2020,320,"87,877",""">
<b>Anne Boyer </b>is a poet and essayist. She was the inaugural winner of the 2018 Cy Twombly Award for Poetry from the Foundation for Contemporary Arts and winner of the 2018 Whiting Award in nonfiction/poetry. Her books include <i>A Handbook of Disappointed Fate</i> as well as several books of poetry, including the 2016 CLMP Firecracker Award–winning <i>Garments Against Women</i>. She was born and raised in Kansas, and was educated in its public schools and libraries. Since 2011, Boyer has been a professor at the Kansas City Art Institute. She lives in Kansas City, Missouri.",F,4.0,1
16,16, Speaking for Myself, Sarah Huckabee Sanders,/w/speaking-for-myself-sarah-huckabee-sanders/1136012465?ean=9781250271334,St. Martin''s Publishing Group,09/08/2020,272,108,""">
SARAH HUCKABEE SANDERS served as the White House press secretary from 2017-2019; she was the third woman and first mother to ever hold the position. The daughter of former Arkansas Governor Mike Huckabee, Sanders has worked in leadership roles for U.S senators, governors, and presidential campaigns. Sarah has been recognized in TIME Magazine’s “40 under 40” as one of the best political operatives of her generation. She is a Fox News contributor, advises major companies, and serves on the Fulbright board as an appointee of President Trump. Sarah lives in Little Rock, Arkansas with her husband Bryan, their children Scarlett, Huck, and George, and their golden retriever Traveler.",F,3.9,15
17,17, Stephen Hawking, Leonard Mlodinow,/w/stephen-hawking-leonard-mlodinow/1134846817?ean=9781524748685,Knopf Doubleday Publishing Group,09/08/2020,240,"207,896",""">
<b>LEONARD MLODINOW</b> received his PhD in theoretical physics from the University of California, Berkeley, was an Alexander von Humboldt Fellow at the Max Planck Institute, and was on the faculty of the California Institute of Technology. His previous books include the best sellers <i>The Grand Design </i>and <i>A Briefer History of Time </i>(bother with Stephen Hawking), <i>Subliminal </i>(winner of the PEN/E. O. Wilson Literary Science Writing Award), and <i>War of the Worldviews </i>(with Deepak Chopra), as well as <i>Elastic, Euclid’s Window, Feynman’s Rainbow, </i>and <i>The Upright Thinkers.</i>",M,0,0
18,18, Rust in Peace, Dave Mustaine,/w/rust-in-peace-dave-mustaine/1136471254?ean=9780306846021,Hachette Books,09/08/2020,208,"28,030",""">
<b>Dave Mustaine</b> is a singer, songwriter, and guitarist who has been performing for close to four decades. He first rose to fame as the original lead guitarist of Metallica, but left the band in the mid 1980s. He is currently the lead vocalist and guitarist of the American heavy metal band, Megadeth.<br/><br/><br/><b>Joel Selvin</b> is an award-winning journalist who has covered pop music for the <em>San Francisco Chronicle</em> since 1970. Selvin is the author of the bestselling <em>Summer of Love</em> and the coauthor, with Sammy Hagar, of the #1 <em>New York Times</em> bestseller <em>Red</em>, among many others. Selvin lives in San Francisco, California.",M,5.0,2
19,19, Everything Beautiful in Its Time, Jenna Bush Hager,/w/everything-beautiful-in-its-time-jenna-bush-hager/1136140326?ean=9780062960627,HarperCollins Publishers,09/08/2020,240,479,""">
Jenna Bush Hager is the cohost of the fourth hour of the <em>Today </em>show with Hoda Kotb and the founder of the <em>Today </em>book club, Read with Jenna. She is the coauthor of the #1 <em>New York Times </em>bestselling <em>Ana’s Story </em>and two children’s books—<em>Our Great Big Backyard </em>and <em>Read All About It</em>—which she wrote with her mother, Laura, as well as the #1 <em>New York Times </em>bestsellers <em>Sisters First, </em>written with her sister, Barbara, in both adult and children’s editions. She lives with her husband and three children in New York City.",F,5.0,3
20,20, One Day, Gene Weingarten,/w/one-day-gene-weingarten/1130773524?ean=9780399185830,Penguin Publishing Group,09/08/2020,384,"207,877",""">
<b>Gene Weingarten</b> is a <i>Washington Post</i> journalist. He writes long-form stories as well as Below the Beltway, the weekly syndicated humor column. His previous books include <i>I’m With Stupid: One Man. One Woman. 10,000 Years of Misunderstanding Between the Sexes Cleared Right Up </i>(with Gina Barreca); <i>The Hypochondriac’s Guide to Life. And Death</i>; <i>Old Dogs: Are the Best Dogs</i>;<i> </i>and<i> The Fiddler in the Subway, </i>a collection of his best-known work. Weingarten is the only two-time winner of the Pulitzer Prize for feature writing, for examining the phenomenon of parents who accidentally leave their children to bake to death in hot cars, and for an experiment in which he arranged for famed violinist Joshua Bell to busk incognito outside a Metro station in Washington to see if anyone would notice.<br/><br/>He lives in Washington, D.C.",F,4.3,4
21,21," Eat a Peach, Author", David Chang,/w/eat-a-peach-david-chang/1134253944?ean=9781524759216,Potter/Ten Speed/Harmony/Rodale,09/08/2020,304,"1,311",""">
<b>David Chang</b> is the chef and founder of Momofuku. Since opening Momofuku Noodle Bar in New York City in 2004, he has been honored with six James Beard Awards, including Outstanding Chef, and has been recognized as a <i>Time</i> 100 honoree. His cookbook, <i>Momofuku</i>, is a <i>New York Times</i> bestseller. In 2018, David founded Majordomo Media and launched <i>The Dave Chang Show</i> podcast. He is the host of two Netflix original documentary series, <i>Ugly Delicious</i> and <i>Breakfast, Lunch &amp; Dinner</i>.",M,4.8,20
